Dates,NDX Index,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,AZN,BIDU,BIIB,BKNG,CDNS,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSX,CTAS,CTSH,DDOG,DLTR,DOCU,DXCM,EA,EBAY,EXC,FAST,FB,FISV,FTNT,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LCID,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MRNA,MRVL,MSFT,MTCH,MU,NFLX,NTES,NVDA,NXPI,ODFL,OKTA,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TEAM,TMUS,TSLA,TXN,VRSK,VRSN,VRTX,WBA,WDAY,XEL,ZM,ZS,IDXX,SBAC,WYNN,TRIP,YHOO,MAT,TTWO,AKAM,DISCA,DISCK,NCLH,TSCO,VIAB,DISH,CA,XRAY,ESRX,HOLX,QRTEA,STX,SHPG,VOD,TFCF,TFCFA,CELG,HAS,HSIC,JBHT,VTRS,NLOK,AAL,WTW,UAL,CSGP,NTAP,WDC,BMRN,CTXS,EXPE,LBTYA,ULTA,ALXN,MXIM,CDW,CERN,CHKP,FOXA,FOX,INCY,TCOM,PTON,XLNX
3/1/2017,4911.33,29.038,,103.48,72.505,103.5,76.18,,,31.94,,150.73,753.67,,,36.64,178.34,,168.3,268.694,1477.57,,,285.77,34.525,159.73,,,30.54,11.9633,116.32,56.52,,77.45,,,79.17,29.84,,23.475,116.86,53.67,,74.16,786.14,808.01,,,131.13,36.6,114.75,71.31,25.82,,87.53,79.41,,107.26,,82.5,31.925,44.85,,45.54,,,62.58,,22.55,127.49,43.632,25.5025,,,,280.82,,61.06,65.32,,,40.25,65.4,379.7,65.61,55.35,,4.44,,,75.15,,58.2122,43.398,73.58,81.32,,74.89,82.96,,,,,117.6,,,47.51,38.9,28.48,,67.57,27.96,27.37,42.79,75.9,35.9,59.4524,32.29,58.62,69.4,40.15,14.2271,39.62,176,24.96,28,28.72,118.75,79.8,61.118,,39.11,24.01,46.3,,,,,69.43,85.84,71.7695,112.44,30.65,256.68,122.63,38.62,,49.4,84.57,,,102.32,40.49,,59.07
4/1/2017,4937.21,29.005,,104.14,72.36,103.66,77.52,,,32.24,,152.87,757.18,,,37.36,177.07,,171.96,270.85,1487.29,,,291.55,34.935,159.76,,,30.1,12.21,117.31,57.32,,79.45,,,80.63,29.76,,23.585,118.69,54.325,,76.38,786.9,807.77,,,135.18,36.41,114.98,69.943,25.85,,87.03,79.13,,107.32,,82.34,31.91,44.8,,46.02,,,62.3,,22.36,129.41,43.74,26.0975,,,,282.11,,61.29,66.22,,,41,65.47,383.11,66.55,55.99,,4.53,,,74.99,,58.7112,45.398,73.49,81.96,,77.05,82.98,,,,,115.95,,,48.86,40.06,29.26,,68.33,28.29,27.63,44.77,76.79,36.6,60.1496,32.81,59.1,71.14,40.03,14.3837,39.12,179.74,25.53,28.25,29.02,118.55,80.94,61.361,,39.63,24.22,46.7,,,,,70.54,86.87,71.881,113.74,31.35,260.92,127.11,39.03,,47.93,84.92,,,102.84,41.34,,58.64
5/1/2017,4964.95,29.153,,105.91,71.32,103.04,76.93,,,32.1,,152.98,780.45,,,37.94,174.28,,177.47,270.408,1503.7,,,296.17,35.075,162.91,,,30.17,12.33,116.28,57.09,,78.06,,,78.96,30.01,,23.31,120.67,54.305,,76.01,794.02,813.02,,,134.56,36.35,115.69,70.323,26.3,,86.53,78.42,,107.08,,81.78,31.295,45,,46.19,,,62.3,,22.11,131.81,45.842,25.435,,,,282.81,,60.85,65.14,,,41.06,65.55,380.92,65.69,56.46,,4.64,,,74.57,,57.5035,45.35,72.92,81.66,,79.06,83.03,,,,,115.96,,,49.2,41.34,30.94,,69.55,27.2,26.6,44.55,75.63,37.48,60.5181,33.08,58.33,70.87,39.79,14.0491,39.05,182,26.3,28.34,29,118.76,83.71,61.032,,39.16,24.65,45.89,,,,,70.55,86.29,71.8571,114.69,32.32,264.14,139.18,38.44,,47.65,86.66,,,104.81,42.8,,57.93
6/1/2017,5007.08,29.478,,108.3,71.6,103.11,79.3,,,32.04,,156.78,795.99,,,37.91,176.59,,176.38,271.725,1520.57,,,298.16,35.135,162.83,,,30.23,12.5067,116.7,57.87,,77.09,,,79.01,31.05,,23.255,123.41,54.915,,75.49,806.15,825.21,,,141.49,36.48,116.86,70.679,26.27,,86.31,79.13,,107.6,,82.3,31.84,45.06,,45.62,,,62.84,,22.04,131.07,45.392,25.775,,,,281.78,,61.27,65.88,,,41.45,65.53,358.68,65.31,57.13,,4.56,,,74.96,,56.665,45.802,74.15,82.38,,79.39,83.1,,,,,118.36,,,50.77,41.23,30.47,,69.79,27.48,26.86,44.25,75.16,37.79,61.1157,33.19,58.29,70.75,39.88,13.9921,38.49,180.11,26.23,28.85,29.52,119.64,82.87,61.216,,38.5,25.01,46.21,,,,,70.38,86.85,72.4703,116.45,33.34,263.3,143.61,39.74,,47.55,87.24,,,108.305,42.5,,59.05
9/1/2017,5024.9,29.748,,108.57,71.94,102.47,79.59,,,32.78,,158.84,796.92,,,37.7,176.97,,177.16,275.428,1529.64,,,296.26,35.415,160.97,,,30.18,12.33,115.48,56.58,,77.14,,,78.64,30.75,,23.085,124.9,54.05,,75.84,806.65,827.18,,,141.54,36.61,116.51,71.256,26.26,,86.07,79.59,,108.86,,82.25,32.21,44.69,,44.4,,,62.64,,22.34,130.95,46.98,26.82,,,,279.4,,61.02,65.07,,,41.4,65.65,355.06,65.45,58.2,,4.6,,,75.65,,56.5652,46.256,74.34,81.73,,82.86,82.55,,,,,119.02,,,50.92,41.34,30.52,,70,26.87,26.25,44.39,75.37,38.34,61.3946,33.25,58.47,71.56,40.05,13.8354,38.05,178.28,25.58,28.77,29.47,120.21,82.6,61.635,,38.95,24.99,47.08,,,,,71.86,91.03,72.2951,117.3,33.79,260.79,144.77,40.65,,47.99,87.2,,,118.525,43.24,,59.06
10/1/2017,5035.17,29.778,,108.26,72.35,102.2,79.98,,,33.13,,158.76,795.9,,,38.38,180.57,,180.31,274.295,1535.25,,,298.2,35.46,161.66,,,30.38,12.4733,114.78,56.66,,77.96,,,78.85,30.25,,23.255,124.35,54.115,,75.01,804.79,826.01,,,165.04,36.54,116.11,73.578,26.9,,85.91,79.33,,108.47,,81.93,32.425,44.17,,43.5,,,62.62,,22.48,129.89,47.996,26.6175,,,,281.3,,60.81,66.25,,,41.08,65.63,373,66.77,57.88,,4.63,,,77.31,,58.6314,45.974,74.6,82.26,,82.93,82.67,,,,,120.71,,,51.31,42.3,29.91,,70.28,26.34,25.76,45.22,76.35,38.4,61.4942,33.01,58.17,72.5,40.435,13.8568,37.63,177.25,26.03,28.92,29.67,119.98,82.86,61.964,,38.95,25.13,48.48,,,,,70.84,90.4,72.1836,117.62,34.01,262.5,143.67,40.89,,49.27,88.21,,,119.3,43.71,,58.53
11/1/2017,5050.21,29.938,,108.99,72.62,103.2,80.87,,,33.47,,156.62,799.02,,,39.2,179.42,,179.32,264.457,1536.11,,,299.54,35.855,161.54,,,30.15,12.68,115.32,57.01,,77.81,,,79.02,30.41,,23.715,126.09,54.27,,73.77,807.91,829.86,,,162.35,36.95,116.38,75.351,26.77,,86.76,80.27,,108.99,,82.84,33.24,45.07,,43.99,,,63.19,,22.79,130.5,47.854,26.29,,,,281.33,,61.15,66.8,,,41.28,66.1,364.47,66.55,58.1,,4.59,,,78.41,,57.3538,45.946,75.2,82.75,,81.93,84.43,,,,,121.12,,,51.66,42.59,29.51,,70.12,26.51,25.99,45.75,76.5,38.9,61.6436,33,57.65,72.09,40.69,13.7571,36.87,169.57,26.52,29.44,30.08,117.24,82.48,61.835,,37.28,25.47,48.64,,,,,71.45,86.07,72.9162,117.2,34.91,262.15,136.66,40.7,,50.51,88.49,,,115.29,43.97,,58.5
12/1/2017,5041.43,29.813,,108.59,72.22,103.8,80.65,,,33.31,,155.36,813.64,,,39.13,178.86,,177.57,265.065,1538.59,,,297.19,35.71,161.87,,,30.04,12.7933,114.4,56.99,,77.53,,,79.6,30.35,,24,126.62,54.71,,73.36,806.36,829.53,,,162.84,36.71,117.04,73.876,26.61,,87.42,80.1,,108.17,,81.89,33.24,44.89,,43.11,,,62.61,,22.31,129.18,47.086,25.86,,,,281.58,,61.34,66.33,,,41.56,66.12,364.44,66.59,58.03,,4.58,,,76.75,,57.0443,45.918,74.85,82.32,,82.39,83.92,,,,,120.64,,,51.88,42.11,29.59,,69.93,27.2,26.65,45.35,75.95,38.53,62.0321,33.06,57,71.86,40.17,13.7073,36.75,168.73,26.65,29.08,29.81,117.08,83.45,61.588,,36.77,25.7,48.1,,,,,70.75,86.16,72.5419,118.01,34.92,260.95,137.35,40.47,,51.31,89.19,,,117.55,43.36,,58.03
13/1/2017,5059.51,29.76,,108.53,72.67,103.77,81.32,,,33.79,,156.12,817.14,,,38.95,180.45,,176.48,262.284,1545.82,,,298.43,36.385,161.86,,,30.07,12.9333,114.56,56.52,,77.13,,,80.35,30.29,,24.025,128.34,55.15,,73.07,807.88,830.94,,,162.57,36.79,117.1,73.857,26.84,,87.03,81.44,,110.54,,82.64,33.17,44.6,,44.51,,,62.7,,22.18,133.7,47.536,25.8575,,,,279.15,,61.47,67.52,,,41.6,66.88,368.16,66.93,57.85,,4.61,,,78.33,,57.0843,47.55,75,82.63,,83.17,83.82,,,,,120.8,,,52.92,42.27,29.52,,70.02,27.4,26.82,44.95,76.05,38.7,62.0221,33.09,57.82,71.8,40.18,13.6574,36.9,170.22,26.53,29.25,30.03,117.48,83.86,62.341,,36.73,26.14,47.65,,,,,71,86.92,73.0993,118.81,34.98,261.4,136.93,41.47,,51.35,90.71,,,117.75,43.53,,58.51
17/1/2017,5044.65,30,,108,72.28,103.07,78.62,,,33.3,,154.8,809.72,,,38.95,179.11,,176.96,260.681,1540.13,,,306.14,36.28,163.81,,,29.99,12.6967,113.67,56.58,,79.51,,,80.23,30.29,,24.1275,127.87,55.22,,71.91,804.61,827.46,,,160.47,36.8,116.09,73.749,27.21,,87.92,80,,109.1,,82.38,32.475,44.9,,43.94,,,62.53,,21.74,132.89,48.616,25.2775,,,,278.76,,60.85,66.92,,,41.27,64.19,363.24,67.12,58,,4.57,,,76.89,,56.9445,47.116,74.49,81.55,,81.55,84.22,,,,,120.01,,,52.6,41.99,30.91,,69.79,27.81,27.14,44.74,77.36,38.69,61.9125,32.8,58.17,73.16,39.93,13.7429,37.02,168.17,26.24,29.25,29.93,114.95,85.17,62.235,,37.07,26.2,46.75,,,,,71.62,85.21,72.3827,118.58,34.69,263.06,135.3,40.73,,52.54,90.39,,,113.64,44.17,,57.73
