DATE,13 WEEKS COUPON EQUIVALENT
5/24/2022,1.07
5/23/2022,1.09
5/20/2022,1.03
5/19/2022,1.06
5/18/2022,1.04
5/17/2022,1.08
5/16/2022,1.09
5/13/2022,1.03
5/12/2022,0.97
5/11/2022,0.91
5/10/2022,0.9
5/9/2022,0.93
5/6/2022,0.85
5/5/2022,0.85
5/4/2022,0.89
5/3/2022,0.91
5/2/2022,0.91
4/29/2022,0.84
4/28/2022,0.82
4/27/2022,0.83
4/26/2022,0.85
4/25/2022,0.95
4/22/2022,0.83
4/21/2022,0.83
4/20/2022,0.83
4/19/2022,0.83
4/18/2022,0.83
4/14/2022,0.79
4/13/2022,0.76
4/12/2022,0.75
4/11/2022,0.79
4/8/2022,0.7
4/7/2022,0.69
4/6/2022,0.68
4/5/2022,0.66
4/4/2022,0.68
4/1/2022,0.53
3/31/2022,0.52
3/30/2022,0.56
3/29/2022,0.57
3/28/2022,0.61
3/25/2022,0.54
3/24/2022,0.51
3/23/2022,0.51
3/22/2022,0.52
3/21/2022,0.56
3/18/2022,0.42
3/17/2022,0.41
3/16/2022,0.44
3/15/2022,0.47
3/14/2022,0.46
3/11/2022,0.4
3/10/2022,0.39
3/9/2022,0.39
3/8/2022,0.37
3/7/2022,0.39
3/4/2022,0.33
3/3/2022,0.38
3/2/2022,0.33
3/1/2022,0.32
2/28/2022,0.38
2/25/2022,0.33
2/24/2022,0.33
2/23/2022,0.37
2/22/2022,0.4
2/18/2022,0.36
2/17/2022,0.38
2/16/2022,0.4
2/15/2022,0.42
2/14/2022,0.46
2/11/2022,0.38
2/10/2022,0.42
2/9/2022,0.27
2/8/2022,0.27
2/7/2022,0.28
2/4/2022,0.23
2/3/2022,0.21
2/2/2022,0.2
2/1/2022,0.2
1/31/2022,0.24
1/28/2022,0.19
1/27/2022,0.2
1/26/2022,0.19
1/25/2022,0.2
1/24/2022,0.2
1/21/2022,0.17
1/20/2022,0.18
1/19/2022,0.17
1/18/2022,0.17
1/14/2022,0.13
1/13/2022,0.12
1/12/2022,0.12
1/11/2022,0.12
1/10/2022,0.13
1/7/2022,0.1
1/6/2022,0.1
1/5/2022,0.09
1/4/2022,0.08
1/3/2022,0.09
12/31/2021,0.06
12/30/2021,0.05
12/29/2021,0.05
12/28/2021,0.06
12/27/2021,0.06
12/23/2021,0.08
12/22/2021,0.08
12/21/2021,0.07
12/20/2021,0.07
12/17/2021,0.05
12/16/2021,0.05
