Dates,NDX Index,NXPI,IDXX,SBAC,WYNN,TRIP,MELI,YHOO,ALGN,MAT,ASML,CDNS,SNPS,TTWO,WDAY,AKAM,DISCA,DISCK,NCLH,TSCO,VIAB,DISH,CA,XRAY,ESRX,HOLX,QRTEA,STX,SHPG,VOD,TFCF,TFCFA,CELG,HAS,HSIC,JBHT,VTRS,NLOK,WYNN,AAL,WTW,UAL,CSGP,NTAP,WDC,BMRN,CTXS,EXPE,LBTYA,TTWO,ULTA,ALXN,MXIM,CDW,CERN,CHKP,FOXA,FOX,INCY,TCOM,PTON,XLNX
1/3/2017,4911.33,97.66,117.6,105.53,87.46,47.51,161.02,#N/A N/A,96.96,28.48,110.45,25.34,59.37,49.22,68.38,67.57,27.96,27.37,42.79,75.9,35.9,59.4524,32.29,58.62,69.4,40.15,14.2271,39.62,176,24.96,28,28.72,118.75,79.8,61.118,96.77,39.11,24.01,87.46,46.3,123.24,72.71,18.615,35.57,69.43,85.84,71.7695,112.44,30.65,49.22,256.68,122.63,38.62,51.54,49.4,84.57,#N/A N/A,#N/A N/A,102.32,40.49,#N/A N/A,59.07
1/4/2017,4937.21,98.3,115.95,105.68,90.28,48.86,165.82,#N/A N/A,97.77,29.26,109.92,25.57,59.57,50.14,71.36,68.33,28.29,27.63,44.77,76.79,36.6,60.1496,32.81,59.1,71.14,40.03,14.3837,39.12,179.74,25.53,28.25,29.02,118.55,80.94,61.361,97.82,39.63,24.22,90.28,46.7,124.76,73.02,19.08,35.65,70.54,86.87,71.881,113.74,31.35,50.14,260.92,127.11,39.03,52.38,47.93,84.92,#N/A N/A,#N/A N/A,102.84,41.34,#N/A N/A,58.64
1/5/2017,4964.95,98.4,115.96,104.28,91.44,49.2,171.28,#N/A N/A,94.82,30.94,111.24,25.66,59.79,49.36,72.28,69.55,27.2,26.6,44.55,75.63,37.48,60.5181,33.08,58.33,70.87,39.79,14.0491,39.05,182,26.3,28.34,29,118.76,83.71,61.032,97.19,39.16,24.65,91.44,45.89,125.96,70.93,19.147,35.36,70.55,86.29,71.8571,114.69,32.32,49.36,264.14,139.18,38.44,51.87,47.65,86.66,#N/A N/A,#N/A N/A,104.81,42.8,#N/A N/A,57.93
1/6/2017,5007.08,98.21,118.36,103.52,92.43,50.77,172.16,#N/A N/A,94.08,30.47,111.12,25.65,60,49.95,73.85,69.79,27.48,26.86,44.25,75.16,37.79,61.1157,33.19,58.29,70.75,39.88,13.9921,38.49,180.11,26.23,28.85,29.52,119.64,82.87,61.216,97.69,38.5,25.01,92.43,46.21,126.78,71.37,19.177,35.23,70.38,86.85,72.4703,116.45,33.34,49.95,263.3,143.61,39.74,51.69,47.55,87.24,#N/A N/A,#N/A N/A,108.305,42.5,#N/A N/A,59.05
1/9/2017,5024.9,98.11,119.02,102.99,92.75,50.92,174.11,#N/A N/A,94.79,30.52,112.49,25.72,60.08,50.46,74.76,70,26.87,26.25,44.39,75.37,38.34,61.3946,33.25,58.47,71.56,40.05,13.8354,38.05,178.28,25.58,28.77,29.47,120.21,82.6,61.635,96.87,38.95,24.99,92.75,47.08,126.01,71.28,19.243,35.23,71.86,91.03,72.2951,117.3,33.79,50.46,260.79,144.77,40.65,51.17,47.99,87.2,#N/A N/A,#N/A N/A,118.525,43.24,#N/A N/A,59.06
1/10/2017,5035.17,98.63,120.71,102.6,94.83,51.31,177.79,#N/A N/A,96.13,29.91,112.65,25.77,60.69,50.81,74.35,70.28,26.34,25.76,45.22,76.35,38.4,61.4942,33.01,58.17,72.5,40.435,13.8568,37.63,177.25,26.03,28.92,29.67,119.98,82.86,61.964,97.72,38.95,25.13,94.83,48.48,126.22,73.66,19.42,35.25,70.84,90.4,72.1836,117.62,34.01,50.81,262.5,143.67,40.89,52.24,49.27,88.21,#N/A N/A,#N/A N/A,119.3,43.71,#N/A N/A,58.53
1/11/2017,5050.21,98.48,121.12,104.71,92.93,51.66,176.75,#N/A N/A,96,29.51,113.48,26.11,60.91,51.11,81.7,70.12,26.51,25.99,45.75,76.5,38.9,61.6436,33,57.65,72.09,40.69,13.7571,36.87,169.57,26.52,29.44,30.08,117.24,82.48,61.835,98.72,37.28,25.47,92.93,48.64,125.75,75.04,19.819,35.65,71.45,86.07,72.9162,117.2,34.91,51.11,262.15,136.66,40.7,52.96,50.51,88.49,#N/A N/A,#N/A N/A,115.29,43.97,#N/A N/A,58.5
1/12/2017,5041.43,98.3,120.64,105.12,91.94,51.88,173.19,#N/A N/A,95.55,29.59,114.77,25.94,60.88,50.87,80.12,69.93,27.2,26.65,45.35,75.95,38.53,62.0321,33.06,57,71.86,40.17,13.7073,36.75,168.73,26.65,29.08,29.81,117.08,83.45,61.588,99.05,36.77,25.7,91.94,48.1,125.73,74,19.77,35.81,70.75,86.16,72.5419,118.01,34.92,50.87,260.95,137.35,40.47,52.74,51.31,89.19,#N/A N/A,#N/A N/A,117.55,43.36,#N/A N/A,58.03
1/13/2017,5059.51,98.38,120.8,105.57,90.53,52.92,176.45,#N/A N/A,96.01,29.52,115.3,26.07,61.34,51.61,80.89,70.02,27.4,26.82,44.95,76.05,38.7,62.0221,33.09,57.82,71.8,40.18,13.6574,36.9,170.22,26.53,29.25,30.03,117.48,83.86,62.341,99.28,36.73,26.14,90.53,47.65,124.73,74.32,20.111,35.93,71,86.92,73.0993,118.81,34.98,51.61,261.4,136.93,41.47,53.22,51.35,90.71,#N/A N/A,#N/A N/A,117.75,43.53,#N/A N/A,58.51
1/17/2017,5044.65,97.62,120.01,106.39,92.34,52.6,178.05,#N/A N/A,95.34,30.91,115.91,25.8,60.74,51.4,80.99,69.79,27.81,27.14,44.74,77.36,38.69,61.9125,32.8,58.17,73.16,39.93,13.7429,37.02,168.17,26.24,29.25,29.93,114.95,85.17,62.235,97.98,37.07,26.2,92.34,46.75,125.33,73.74,19.911,35.56,71.62,85.21,72.3827,118.58,34.69,51.4,263.06,135.3,40.73,52.69,52.54,90.39,#N/A N/A,#N/A N/A,113.64,44.17,#N/A N/A,57.73
